uni.txt;10;1074;0;0
uni.txt;13;1545;0;0
uni.txt;16;2264;0;0
uni.txt;20;3043;0;0
uni.txt;26;4590;0;0
uni.txt;33;6402;0;0
uni.txt;42;8992;0;0
uni.txt;54;12817;0;0
uni.txt;70;18118;0;0
uni.txt;91;25227;0;0
uni.txt;118;34829;0;0
uni.txt;153;48660;0;0
uni.txt;198;67714;0;0
uni.txt;257;93677;0;0
uni.txt;334;129533;0;0
uni.txt;434;177672;0;0
uni.txt;564;243993;0;0
uni.txt;733;333823;0;0
uni.txt;952;453915;0;0
uni.txt;1237;618953;0;0
uni.txt;1608;840801;0;0
uni.txt;2090;1143303;0;0
uni.txt;2717;1547436;0;0
uni.txt;3532;2092250;0;0
uni.txt;4591;2827488;0;0
uni.txt;5968;3809976;0;0
uni.txt;7758;5133959;0;0
uni.txt;10085;6907825;0;0
