seqtest.txt;10;10;31;53;12
seqtest.txt;13;12;44;82;16
seqtest.txt;16;16;62;134;26
seqtest.txt;20;20;80;208;38
seqtest.txt;26;26;111;349;56
seqtest.txt;33;32;144;542;76
seqtest.txt;42;42;192;901;116
seqtest.txt;54;54;252;1483;164
seqtest.txt;70;70;335;2483;236
seqtest.txt;91;90;455;4138;336
seqtest.txt;118;118;593;7019;476
seqtest.txt;153;152;786;11702;672
seqtest.txt;198;198;1019;19699;948
seqtest.txt;257;256;1345;33022;1298
seqtest.txt;334;334;1757;55943;1844
seqtest.txt;434;434;2309;94393;2544
seqtest.txt;564;564;2999;159328;3508
seqtest.txt;733;732;3929;268642;4852
seqtest.txt;952;952;5110;453626;6612
seqtest.txt;1237;1236;6662;765082;9098
seqtest.txt;1608;1608;8658;1293634;12446
seqtest.txt;2090;2090;11267;2185093;16828
seqtest.txt;2717;2716;14685;3691042;23088
seqtest.txt;3532;3532;19104;6239276;31248
seqtest.txt;4591;4590;24824;10538638;42324
nonuniform.txt;10;430;760;766;468
nonuniform.txt;13;559;1217;1195;787
nonuniform.txt;16;688;1192;1242;816
nonuniform.txt;20;860;1394;1465;922
nonuniform.txt;26;1118;2845;3088;1924
nonuniform.txt;33;1419;2247;2619;1487
nonuniform.txt;42;1806;5186;5804;3429
nonuniform.txt;54;2322;7027;7994;4779
nonuniform.txt;70;3010;8790;10759;6247
nonuniform.txt;91;3913;9045;12913;6085
nonuniform.txt;118;5074;21163;26927;14054
nonuniform.txt;153;6579;14606;25597;9594
nonuniform.txt;198;8514;24649;42805;15777
nonuniform.txt;257;11051;14692;46757;10442
nonuniform.txt;334;14362;67890;120698;45961
nonuniform.txt;434;18662;85907;175711;59309
nonuniform.txt;564;24252;141785;294635;95800
nonuniform.txt;733;31519;124586;388928;83587
nonuniform.txt;952;40936;147190;592909;95133
nonuniform.txt;1237;53191;304315;1056905;198057
nonuniform.txt;1608;69144;452003;1729112;298744
nonuniform.txt;2090;89870;508112;2674279;338651
nonuniform.txt;2717;116831;507860;4188527;351264
nonuniform.txt;3532;151876;783328;7001539;536862
nonuniform.txt;4591;197413;1094251;11599193;750813
nonuniform.txt;5968;256624;1432000;19208575;977177
nonuniform.txt;7758;333594;2685036;32687102;1788519
